variable,group,value
1949,8,-0.108
1949,9,-0.163
1949,10,-0.021
1949,11,-0.131
1949,12,-0.053
1950,1,-0.228
1950,2,-0.336
1950,3,-0.111
1950,4,-0.197
1950,5,-0.067
1950,6,-0.021
1950,7,-0.025
1950,8,-0.167
1950,9,-0.192
1950,10,-0.163
1950,11,-0.334
1950,12,-0.177
1951,1,-0.327
1951,2,-0.401
1951,3,-0.139
1951,4,-0.017
1951,5,0.126
1951,6,0.103
1951,7,0.056
1951,8,0.185
1951,9,0.098
1951,10,0.212
1951,11,0.013
1951,12,0.203
1952,1,0.189
1952,2,0.157
1952,3,-0.065
1952,4,0.099
1952,5,0.068
1952,6,0.092
1952,7,0.116
1952,8,0.116
1952,9,0.124
1952,10,0.074
1952,11,-0.091
1952,12,0.095
1953,1,0.095
1953,2,0.191
1953,3,0.1
1953,4,0.318
1953,5,0.254
1953,6,0.248
1953,7,0.128
1953,8,0.146
1953,9,0.117
1953,10,0.118
1953,11,-0.006
1953,12,0.14
1954,1,-0.206
1954,2,-0.061
1954,3,-0.088
1954,4,0.008
1954,5,-0.02
1954,6,-0.042
1954,7,-0.119
1954,8,-0.073
1954,9,-0.068
1954,10,0.104
1954,11,0.167
1954,12,-0.057
1955,1,0.214
1955,2,-0.133
1955,3,-0.264
1955,4,-0.127
1955,5,-0.18
1955,6,-0.059
1955,7,-0.105
1955,8,0.127
1955,9,-0.158
1955,10,0.012
1955,11,-0.241
1955,12,-0.232
1956,1,-0.07
1956,2,-0.152
1956,3,-0.22
1956,4,-0.22
1956,5,-0.263
1956,6,-0.139
1956,7,-0.107
1956,8,-0.298
1956,9,-0.218
1956,10,-0.271
1956,11,-0.168
1956,12,0.006
1957,1,-0.119
1957,2,-0.044
1957,3,-0.091
1957,4,0.048
1957,5,0.132
1957,6,0.192
1957,7,-0.029
1957,8,0.144
1957,9,0.082
1957,10,0.105
1957,11,0.06
1957,12,0.153
1958,1,0.357
1958,2,0.189
1958,3,0.115
1958,4,0.03
1958,5,0.072
1958,6,-0.071
1958,7,-0.019
1958,8,-0.073
1958,9,-0.107
1958,10,0.055
1958,11,0.056
1958,12,0.088
1959,1,0.11
1959,2,0.038
1959,3,0.139
1959,4,0.198
1959,5,0.101
1959,6,0.084
1959,7,0.029
1959,8,0
1959,9,-0.099
1959,10,-0.008
1959,11,-0.131
1959,12,0.023
1960,1,-0.007
1960,2,0.104
1960,3,-0.336
1960,4,-0.139
1960,5,-0.058
1960,6,-0.008
1960,7,-0.052
1960,8,0.087
1960,9,0.07
1960,10,0.074
1960,11,-0.165
1960,12,0.226
1961,1,0.057
1961,2,0.171
1961,3,0.043
1961,4,0.156
1961,5,0.173
1961,6,0.125
1961,7,0.013
1961,8,0.016
1961,9,0.042
1961,10,0.001
1961,11,0.024
1961,12,-0.118
1962,1,0.061
1962,2,0.113
1962,3,0.129
1962,4,0.052
1962,5,-0.115
1962,6,0.009
1962,7,-0.073
1962,8,-0.065
1962,9,-0.086
1962,10,-0.031
1962,11,0.006
1962,12,0.005
1963,1,0
1963,2,0.119
1963,3,-0.223
1963,4,-0.062
1963,5,-0.088
1963,6,-0.025
1963,7,0.066
1963,8,0.256
1963,9,0.183
1963,10,0.143
1963,11,0.108
1963,12,0.035
1964,1,-0.084
1964,2,-0.129
1964,3,-0.295
1964,4,-0.335
1964,5,-0.278
1964,6,-0.044
1964,7,-0.095
1964,8,-0.283
1964,9,-0.339
1964,10,-0.286
1964,11,-0.256
1964,12,-0.238
1965,1,-0.036
1965,2,-0.17
1965,3,-0.179
1965,4,-0.183
1965,5,-0.078
1965,6,-0.098
1965,7,-0.155
1965,8,-0.06
1965,9,-0.197
1965,10,-0.01
1965,11,-0.065
1965,12,-0.006
1966,1,-0.155
1966,2,-0.043
1966,3,-0.058
1966,4,-0.015
1966,5,-0.096
1966,6,0.002
1966,7,0.097
1966,8,-0.039
1966,9,0.008
1966,10,-0.155
1966,11,-0.031
1966,12,-0.007
1967,1,-0.091
1967,2,-0.23
1967,3,0.045
1967,4,0.011
1967,5,0.212
1967,6,-0.004
1967,7,0.025
1967,8,0.001
1967,9,-0.031
1967,10,0.051
1967,11,-0.102
1967,12,-0.013
1968,1,-0.201
1968,2,-0.155
1968,3,0.109
1968,4,-0.042
